Swetha Vardhineni Designer ..,+(91)-9848224642,4.0,44,"1 St Floor Sm Central, Lanko Hills Road, Manikonda, Hyderabad - 500089, Near Marri Chettu",
Sonali Creations,+(91)-40-23735281,4.1,42,"7-1-180/2 Shop No- 1 & 2 Msk Chambers, Satyam Talkies Road, Ameerpet, Hyderabad - 500016, Near Gurudwara",
Kutch Kala Darshan,+(91)-40-24751401,4.0,41,"House No 4-3-52/2, Hvs Complex, Kandaswamy Lane, Sultan Bazar-Koti, Hyderabad - 500095, Beside Hvs School",
Brand House Retail LTD ( Re..,No Number!,3.8,41,"Door No 8-2-591/1, No G-12, City Center Mall, Road No 1, Banjara Hills, Hyderabad - 500034, Opp: Taj Krishna Hotel",
Mangalyam,+(91)-9010868996,4.2,39,"Shop !1&2 ;surway 28&29, Harivillu Road ;, Manikonda, Hyderabad - 500089, Near New Sampoorna Super Market",
The Swathis Boutiquenx,+(91)-40-24752265,4.0,39,"Shop No 4-2-303, Sultanbazar Main Road, Sultan Bazar-Koti, Hyderabad - 500095, Opp to Royal Bazaar",
Ranias Collection Of Design..,+(91)-40-32911100,4.4,37,"Shop No 6.Orange Block,RainBow Apartments, Shaikpet Road, Shaikpet, Hyderabad - 500008, Beside Cafe Coffee Day",
Origins fine line,+(91)-40-23359221,4.0,37,"Merchant towers, Ground floor, Road no 4, Banjara Hills, Hyderabad - 500034, Pop GVK mall",
Sachin Mens Tailors,+(91)-8247837078,4.1,36,"Door No 1-187, Datta Mansion, Main Road, Sanjeeva Reddy Nagar, Hyderabad - 500038, Opposite S R Nagar Bus Stop",
Sartaj Tailors,+(91)-040-24753397,4.5,35,"Door No. 4-1-889/19, Surya Theatre Complex, Abids Tilak Road, Abids, Hyderabad - 500001, Opposite Abids Function Hall",
Zara House,+(91)-40-65812084,3.5,35,"Shop No: 12-2-823/A/51, Santosh Nagar Colony, Mehdipatnam, Hyderabad - 500028, Near St Anns College For Women",
Navya Ladies Tailors,+(91)-40-66461890,4.2,32,"House No 7-1-610, 1st Floor, Opp. Vijaya Laxmi Theater, Ameerpet, Hyderabad - 500016, Near Kanaka Durga Temple",
Designer Khan S D,+(91)-9676202832,4.1,32,"Shop No 10,Taramandal Complex, Saifabad, Khairatabad, Hyderabad - 500004",
Aakarshana,+(91)-40-48502315,4.0,32,"Plot No 163/c, Western Hills,Addagutta Society, Western Hills-Kukatpally, Hyderabad - 500072, Opposite Jntu,Kphb. Near Arjun Theatre",
Fida Designer Boutique,+(91)-040-40077246,4.3,30,"Shop No. 36561, G2, Aalto's A & M Trade Center, Main Road, Himayat Nagar, Hyderabad - 500029, Opposite Max",
Feelings Boutique,+(91)-40-27720583,3.3,29,"Shop No- 4, Shaila Plaza- 157/7, Raghava Colony, Diamond Point-Sikh Village, Hyderabad - 500009, Opp HDFC Bank",
Topline Ladies Tailors,+(91)-7036331436,4.0,28,"Shop No 23, Ground Floor, Ctc Complex, Sd Road, Parklane, Hyderabad - 500003",
Rubys Designer Boutique,+(91)-8184910011,3.4,27,"# Door No 1-1-261/13, Chikkadpally Main Road, Chikkadpally, Hyderabad - 500020, Adjacent to Khadims Footwear",
Bung Exclusive,+(91)-40-24602722,4.5,25,"15-7-301/1, Begum Bazar Chatri, Begum Bazar, Hyderabad - 500012, Near Mahesh Bank Lane",
Avvaris Fashion Designers S..,+(91)-40-48532984,3.9,25,"1-65/s/469, Hitech City Road, Madhapur, Hyderabad - 500081, Image Gardens",
Varsana Boutique,+(91)-40-23392519,3.6,24,"Plot No 34-B, Road No. 12 MLA Colony, Banjara Hills, Hyderabad - 500034, Near Anti Coruption Bureau",
Irfan Designers,+(91)-9502006184,4.2,23,"Door No 8-2-120/120/1/53, Road No 10, Banjara Hills, Hyderabad - 500034, Near Noor Nagar, Opp Income Tax Colony",
Nayna Boutique & Design Stu..,+(91)-40-66513388,4.3,22,"8-3-678/27, P. No -16-B, Ameerpet, Hyderabad - 500016, Bata Showroom Line",
